City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Ilhabela,BR,-23.7781,-45.3581,69.48,60,33,5.91,scattered clouds
133,Touros,BR,-5.1989,-35.4608,73.18,92,45,10.22,scattered clouds
134,Hualmay,PE,-11.0964,-77.6139,60.37,85,31,5.73,scattered clouds
135,Saint George,US,37.1041,-113.5841,94.42,23,0,8.05,clear sky
136,Hilo,US,19.7297,-155.09,75.25,81,20,4.61,few clouds
137,Saint-Philippe,RE,-21.3585,55.7679,76.59,69,43,16.53,scattered clouds
138,Buala,SB,-8.145,159.5921,83.43,70,4,6.87,clear sky
139,Kodiak,US,57.79,-152.4072,60.31,77,20,3.44,few clouds
140,Qaanaaq,GL,77.484,-69.3632,41.0,77,83,6.76,broken clouds
141,Aleksandrov Gay,RU,50.147,48.5704,92.68,21,97,16.28,overcast clouds
142,Oistins,BB,13.0667,-59.5333,82.49,78,20,19.57,few clouds
143,San Nicolas,PH,18.1725,120.5953,85.89,75,77,6.67,broken clouds
144,Biak,ID,-0.9131,122.8766,80.28,72,90,6.82,moderate rain
145,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,75,19.57,broken clouds
146,Lagoa,PT,39.05,-27.9833,66.96,92,24,7.92,few clouds
147,Wenling,CN,28.3669,121.36,85.23,77,35,13.27,scattered clouds
148,Hurghada,EG,27.2574,33.8129,85.87,47,19,22.48,few clouds
149,Colombia,CU,20.9881,-77.4297,74.91,92,86,1.79,overcast clouds
150,Bilibino,RU,68.0546,166.4372,79.09,42,54,7.63,broken clouds
151,Georgetown,MY,5.4112,100.3354,80.53,83,40,2.3,scattered clouds
152,Koutsouras,GR,35.0339,25.9469,81.1,42,0,17.16,clear sky
153,Sioux Lookout,CA,50.1001,-91.917,60.87,94,100,6.91,overcast clouds
154,Lazaro Cardenas,MX,17.9583,-102.2,80.29,86,59,5.12,broken clouds
155,Maldonado,UY,-34.6667,-54.9167,45.23,83,100,17.27,overcast clouds
156,Ribeira Grande,PT,38.5167,-28.7,68.77,87,12,5.77,few clouds
157,Catamarca,AR,-28.4696,-65.7852,43.77,49,0,1.99,clear sky
158,Sao Filipe,CV,14.8961,-24.4956,73.04,85,42,3.51,scattered clouds
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.45,89,1,18.01,clear sky
160,Kamenka,RU,51.3223,42.7678,75.24,63,22,10.04,few clouds
161,Aksarka,RU,66.5606,67.7975,61.79,42,94,1.39,overcast clouds
162,Te Anau,NZ,-45.4167,167.7167,39.67,93,100,5.91,overcast clouds
163,Faya,SA,18.3851,42.4509,73.92,32,100,16.37,overcast clouds
164,Grootfontein,NA,-19.5667,18.1167,38.77,81,0,3.44,clear sky
165,Gola Gokarannath,IN,28.0833,80.4667,100.94,37,27,8.52,scattered clouds
166,Pervomayskoye,RU,43.919,46.7102,86.52,42,36,10.11,scattered clouds
167,Djibo,BF,14.1022,-1.6306,83.14,57,5,12.08,clear sky
168,Carnarvon,AU,-24.8667,113.6333,70.92,51,0,6.51,clear sky
169,Souillac,MU,-20.5167,57.5167,75.58,60,75,19.57,broken clouds
170,Bandarbeyla,SO,9.4942,50.8122,84.36,54,34,30.47,scattered clouds
171,San Martin,AR,-33.081,-68.4681,38.5,61,2,6.13,clear sky
172,Bethel,US,41.3712,-73.414,70.11,79,0,5.75,clear sky
173,Taganak,PH,6.0833,118.3,82.94,67,100,6.51,overcast clouds
174,Kudahuvadhoo,MV,2.6708,72.8944,81.36,69,100,4.65,overcast clouds
175,Prince Rupert,CA,54.3161,-130.3201,53.29,85,100,4.61,overcast clouds
